qid,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30,comment_31,comment_32,comment_33,comment_34,comment_35,comment_36,comment_37,comment_38,comment_39,comment_40,comment_41,comment_42,comment_43,comment_44,comment_45,comment_46,comment_47,comment_48,comment_49,comment_50,comment_51,comment_52,comment_53,comment_54,comment_55,comment_56,comment_57,comment_58,comment_59,comment_60,comment_61,comment_62,comment_63,comment_64,comment_65,comment_66,comment_67,comment_68,comment_69,comment_70,comment_71,comment_72,comment_73,comment_74,comment_75,comment_76,comment_77,comment_78,comment_79,comment_80,comment_81,comment_82,comment_83,comment_84,comment_85,comment_86,comment_87,comment_88,comment_89,comment_90,comment_91,comment_92,comment_93,comment_94,comment_95,comment_96,comment_97,comment_98,comment_99,comment_100,comment_101,comment_102,comment_103,comment_104,comment_105,comment_106,comment_107,comment_108,comment_109,comment_110
7259,No readme for how to login as a admin; cant edit name and phone number of admin,"we can specify applicant as negative number. Ideally, it should now allowthis. Why property applied and property occupied fields are present in newapplicant form? While creating applicant, there will be no property appliedand property occupied.; Creating new applicant is not working.","log in to admin but it shows ""Leasing agent""; Can't log in as Admin","log in to admin but it shows ""Leasing agent""; yes, I can't find admin and can't even know who I am and don't know if I am log in already",Admin feature has not been implemented; There are no credentials for Admin,"cannot login as admin (tried several times); can't find admin account, test not done",No readme for how to login as a admin; Couldn't see the details of admin.,Admin feature has not been implemented; No admin,"no button to log in as admin; Admin attributes could not be accessed, as admin account could not be loggedinto",Not provide admin account and password; I cant tell because the readme did not have the admin's email and password,Admin class has not been defined so no functionality is unavailable; No admin,No admin; Cannot access admin. This can be analysed better when the admin functionalityhas been incorporated.,cannot find admin details in readme; Admin Functionality is currently not working. Please add admin in the dropdown,Admin class has not been defined so no functionality is unavailable; There are no credentials for Admin,Cannot access admin. This can be analysed better when the admin functionalityhas been incorporated.; There are no credentials for Admin,I can't sign in as admin; There is no admin account or password.,"Not provide admin account and password; log in to admin but it shows ""Leasing agent""",No admin; no profile page,Something wrong with the given admin credentials. I can't login as admin.; There is no admin account or password.,Admin feature has not been implemented; Cannot access admin. This can be analysed better when the admin functionalityhas been incorporated.,"I was able to delete admin, n; Can't log in as Admin","cannot find admin details in readme; can't find admin account, test not done",Not provide admin account and password; Can't log in as Admin,There is no readme file. It's not clear who the admin is; Admin user provided in Readme is unable to login .Hence could not test itsfunctionalities. Also try to provide some error message if the user is notgetting logged in.,I cant tell because the readme did not have the admin's email and password; Can't log in as Admin,"I do not receive the README.md. I do not know how to login in as admin.; Admin attributes could not be accessed, as admin account could not be loggedinto",can't check; cant find where to log in admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7260,email is missing for applicant; Who has applied an application is not shown.,"Add to property.; ""properties applied"" attribute seems missing","Unable to access the application, looks like a deployment issue.; Can't open web page","CRUD for property is missing; Unable to see properties applied, properties occupied or creating any newproperties gives an error","Unable to see properties applied, properties occupied or creating any newproperties gives an error; Admin class has not been defined so no functionality is unavailable",Admin class has not been defined so no functionality is unavailable; Can only view properties,Applicant is not able to view/edit his profile.; Login doesn't work; I get an application error; can't access any functionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7261,Can only view properties; Can not add new property. A user must not have 'New Property' option shown on their page,I am able to create a new property with all fields as blank.; Empty properties form can be submitted. Consider a server-side check orclient-site UI notification.,could not check since I was not able to create a property; Cannot create agent So was not able to check the functionalities,Can only view properties; Agent is not able to create/view/edit/delete properties.,"Unable to access the application, looks like a deployment issue.; The Application is not working, cannot find anything if something is missing or not","Unable to access the application, looks like a deployment issue.; Can't open web page",The functionality is missing; no functions after log in,can't check; Check in /check out of tenant not working.,The admin cannot view any information of leasing agents either; No differentiator between what type of user is logging in. So unable to finddifferences if the user should have applicants or leasing agentfunctionalities,Admin class has not been defined so no functionality is unavailable; Can only view properties,Cant view agents through admin login; The admin cannot view any information of leasing agents either,"yes, I can't find admin and can't even know who I am and don't know if I amlog in already; Can sign up but that's all I can do","While loggin in as agent, unable to view or create new properties; Cannot add new property. A user must not have 'New Property' option shown ontheir page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7262,admin functionality has not yet been implemented as per readme.md; No admin,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""","Agent is not able to view / accept applications.; Errors after clicking on applying to rent a property. Hence, I was not able todetermine if applicants can withdraw their applications, as well as an agentcan check in and out an applicant. I was not able to log in as admin for theinformation provided.",Cannot create/view/edit/delete applicants through admin; No access to applicants has been given on the nav bar,Admin functions are not developed; create/add/delete properties and users is missing for admin as admin hasn'tbeen implemented yet,MISSING CREDENTIALS; Admin login not available,Admin credentials not available.; Please provide a Readme containing instructions to login as an admin.,"Admin cannot delete applications.; Admin can create, on default save, status shows 'approved', but gets saved asprocessing, delete is not happening on destroy.","While all of these functionalities are technically available, all of them have incorrect scope. There appears to be little difference between Applicants,Leasing Agents, and Admins. All three can edit any field of Properties andApplications, allowing an Applicant to immediately approve their ownApplication. It is also unclear what exactly it means to ""check in"" and ""checkout"" of a property. Properties have a ""Occupied By"" field, but it only takes an integer (presumably the Applicant ID?), and can be editted by anyone andset to any number arbitrarily. Applicants should only be able to apply for and""Show"" properties, not edit them, and should only be able to view the statusof their applications, not edit them (apart from Withdrawing them). Further,an applicant should only be able to see their own applications. This can beenforced by checking what applications match the applicant's ID and onlyshowing those when rendering a page. Limiting the access of Applicants couldthen be done by checking this same ID and only rendering the elements of indexpages they should be able to access through a check of that ID. Creating newproperties is also very temperamental, resulting in a broken screen for mostof my attempts to create a new property. I assume this is due to the websitefailing to find foreign keys for ""Occupied By"" and ""Property"". These fieldsshould not be filled in manually, and should instead be filled in by checkingthe user's ID and providing a limited set of options for which ""Property"" theapplication is for.; the applicant could edit and delete all properties, which is not allowed","Unable to access the application, looks like a deployment issue.; Can't open web page",admin functionality has not yet been implemented as per readme.md; There is an error while adding new application as Admin.,I do not receive the README.md. I do not know how to login in as admin.; Admin login not available,admin functionality has not yet been implemented as per readme.md; Admin credentials are not given in readme file and it has been mentioned thatits not implemented,Can't view applicants; Admin user provided in Readme is unable to login .Hence could not test its functionalities. Also try to provide some error message if the user is not getting logged in.,can't create/view/edit/delete applicants; can't edit,No admin functionalities; all are missing.,Unable to log in as admin; MISSING CREDENTIALS,no button to log in as admin; MISSING CREDENTIALS,delete; Cannot delete applicants,"When logged in as agent, applications tab is not allowing to edit theapplication. Agent was not able to update the status. Only he can do is updatethe occupied_by in property to some value. When property occupied by is set tosome value, application status should be accordingly updated. Or whenapplications status is updated, occupied_by field in property should beupdated. Either way is fine. There is no option to add/create/view/deleteapplicants.; Cannot create/view/edit/delete applicants through admin",Admin credentials not available.; admin functionality has not yet been implemented as per readme.md,except crud applicants and agents all features are missing; The functionality is missing,can't create/view/edit/delete applicants; cannot edit application,Please provide a Readme containing instructions to login as an admin.; MISSING CREDENTIALS,"No admin functionality; agent click the add button, but it is destory a property,no check in, admincreate/view/edit/delete applicants",Admin credentials are not given in readme file and it has been mentioned that its not implemented; No admin,No admin functionality; Admin credentials are not given in readme file and it has been mentioned that its not implemented,No. Admin Feature not implemented; No admin,"please check your deployment, it says ""Application error"".; Can't open web page",Cannot delete applicants; Applicant could not withdraw application,"create/add/delete properties and users is missing for admin as admin hasn'tbeen implemented yet; agent click the add button, but it is destory a property,no check in, admincreate/view/edit/delete applicants",I do not receive the README.md. I do not know how to login in as admin.; MISSING CREDENTIALS,"I can't sign in as admin; Errors after clicking on applying to rent a property. Hence, I was not able todetermine if applicants can withdraw their applications, as well as an agentcan check in and out an applicant. I was not able to log in as admin for theinformation provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7263,Delete not working; Destroy Application not working as expected.,edit and create application functions not working or not found.; The functionality is missing,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""","create/view/edit/delete functions for admin are missing, since leasing agentfunctionality hasn't been implemented; Admin cannot create/view/edit/delete applications",Admin functions are not developed; create/add/delete properties and users is missing for admin as admin hasn'tbeen implemented yet,MISSING CREDENTIALS; Admin login not available,Please provide a Readme containing instructions to login as an admin.; Admin login not available,"Admin can't create a new application. But he can edit, view, and delete applications.; It seems they cannot delete all applications","As admin, when i tried to delete application on applications index page, it worked once, but didn't work again when I clicked on ""Destroy"". It only took me to the application's show page.; Delete not working","Unable to access the application, looks like a deployment issue.; The Application is not working, cannot find anything if something is missing or not","Admin can't create a new application. But he can edit, view, and delete applications.; Can only view existing applications","Admin not able to create/view/edit/delete leasing agents.; The admin cannot delete nor edit applications. The former is not an optionthat is available, and the later leads to a broken page. The ability to editparts of applications (their status at the least) should be added for theadmin.",lack of delete function; site throws error on trying to delete,"Unable to access the application, looks like a deployment issue.; Can't open web page",Cannot delete applications; Admins are unable to delete users.,admin functionality has not been implemented as per readme.md; Properties are not visible to the agent.,"Effectively, if admin isn't able to login, create/view/delete leasing agentsfunctions aren't available to use via ui; Something wrong with the given admin credentials. I can't login as admin.",delete; Admins are unable to delete users.,Unable to log in as admin; MISSING CREDENTIALS,no button to log in as admin; MISSING CREDENTIALS,delete; Cannot delete applications,"Cannot create, delete and edit an application; It seems they cannot delete all applications","I can't sign in as admin; Effectively, if admin isn't able to login, create/view/delete leasing agentsfunctions aren't available to use via ui",Please provide a Readme containing instructions to login as an admin.; MISSING CREDENTIALS,"I was able to delete the admin, which in turn messed up the entire application; I cannot log in as admin","I was not able to log in as admin for the information provided, so I could notdetermine this feature.; Something wrong with the given admin credentials. I can't login as admin.",No admin functionality; Admin credentials are not given in readme file and it has been mentioned thatits not implemented,delete; Delete not working,I do not receive the README.md. I do not know how to login in as admin.; MISSING CREDENTIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7264,Cannot delete leasing agents; Delete not working,Admin is not able to create properties.; No admin available this time. Function is missing.,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""",admin functionality has not been implemented as per readme.md; There is an error while adding new application as Admin.,Admins are unable to delete properties.; Delete not working,Admin functions are not developed; create/add/delete properties and users is missing for admin as admin hasn'tbeen implemented yet,Please provide a Readme containing instructions to login as an admin.; admin login not available,"I can't sign in as admin; Effectively, if admin isn't able to login, create/view/delete propertiesfunctions aren't availab",Applicants cannot see the properties. Admin module is not implemented (asmentioned in the readme.md file); No admin functionality,"Unable to access the application, looks like a deployment issue.; Can't open web page",I do not receive the README.md. I do not know how to login in as admin.; admin login not available,Cannot delete leasing agents; Admins are unable to delete properties.,Applicants cannot see the properties. Admin module is not implemented (asmentioned in the readme.md file); No. Admin Feature not implemented,Admins are unable to delete properties.; Destroy Leasing Agent not working as expected.,"I was not able to log in as admin for the information provided, so I could notdetermine this feature.; Something wrong with the given admin credentials. I can't login as admin.","Effectively, if admin isn't able to login, create/view/delete propertiesfunctions aren't availab; Something wrong with the given admin credentials. I can't login as admin.",Admin credentials are not given in readme file and it has been mentioned thatits not implemented; No admin,Cannot create/view/edit/delete leasing agents; Can't view leasing agents,No admin functionality; Admin credentials are not given in readme file and it has been mentioned thatits not implemented,No. Admin Feature not implemented; No admin,Delete not working; Destroy Leasing Agent not working as expected.,delete; Delete not working,"Cannot delete leasing agents; As admin, Deleting a leasing agent, takes me to a page which asks if I want tomove out the agent from a property. Clicking on move out button makes arequest instead of directly moving out the agent from the property.",Admin is not able to create properties.; anyone can add and delete properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7265,Admin not able to checkin and checkout.; Check in and checkout is not working. Approve application functionality isbroken.,There is not currently a good option for when a property isn't occupied. You are required to always type in something into the 'occupied by' field on the edit form for a property; Have to fill all fields even those which can be null. Also some unnecessaryeditable fields like occupied by should not be there,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""",not able to checkin and checkout an applicant; check in and out are missing,"Effectively, if admin isn't able to login, checking in and out an applicantfunctions aren't availab; Something wrong with the given admin credentials. I can't login as admin.",Admin functions are not developed; create/add/delete properties and users is missing for admin as admin hasn'tbeen implemented yet,Please provide a Readme containing instructions to login as an admin.; admin login not available,"Admin login credentials are missing, so no functionality of admin can betested; Cannot access admin as email and password was not given in readme",Property tab is throwing error page; The properties link seems to not be working,"Unable to access the application, looks like a deployment issue.; Can't open web page",Cant add new properties through admin. Can only view existing ones in thedatabase; Admin cannot create new property without manually editing URL,Admin not able to checkin and checkout.; No admin available this time. Function is missing.,I do not receive the README.md. I do not know how to login in as admin.; admin login not available,delete; Cannot delete properties,"Option to check in and checkout are not available; Check in checkout functionality has been implemented using edit, should not be able to edit other fields.","Admin login credentials are missing, so no functionality of admin can betested; The functionality is missing",No check in and check out on the properties.; No. Admin Feature not implemented,"I was not able to log in as admin for the information provided, so I could notdetermine this feature.; Something wrong with the given admin credentials. I can't login as admin.",No admin functionality; Admin credentials are not given in readme file and it has been mentioned thatits not implemented,Admins cannot check out an applicant until they submit a request for move out.; Can not check out an applicant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7266,check in and out are missing; check in and check out for applicant is missing for the admin pages,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""",Admin cannot check in/check out an applicant; I cannot log in as admin,MISSING CREDENTIALS; admin login not available,Please provide a Readme containing instructions to login as an admin.; admin login not available,No checking in option seen; Admin cannot check in/check out an applicant,But it is checking out a default applicant. Please add an input field to get the applicant id/name.; Cannot check in/out applicant,"Unable to access the application, looks like a deployment issue.; Can't open web page",I do not receive the README.md. I do not know how to login in as admin.; admin login not available,"Admin credentials are not given in readme file and it has been mentioned thatits not implemented; Problems in adding properties, applications and no Admin.",check in and out; check in and check out for applicant is missing for the admin pages,Unable to log in as admin; MISSING CREDENTIALS,check in and out are missing; All are missing except log in function,no button to log in as admin; MISSING CREDENTIALS,"functions to check in and check out a tenant are missing for admin aremissing, since admin functionality hasn't been implemented; Cannot check in/out without application",Please provide a Readme containing instructions to login as an admin.; MISSING CREDENTIALS,Edit is not working in applications so admin is not able to checkin applicant; check in and check out for applicant is missing for the admin pages,"I was not able to log in as admin for the information provided, so I could notdetermine this feature.; Something wrong with the given admin credentials. I can't login as admin.",Admin credentials are not given in readme file and it has been mentioned thatits not implemented; No admin,"Agent adding new property does not work.; Problems in adding properties, applications and no Admin.",No admin functionality; Admin credentials are not given in readme file and it has been mentioned thatits not implemented,No. Admin Feature not implemented; No admin,I was not able to locate the check in and checkout applications; No checking in option seen,checkin and checkout are missing; Cannot check in/out applicant,"The field which may indicate whether an applicant is checked in or not is wellimplemented in this design. Technically, an admin or leasing agent could edita property's ""Occupied by"" field to check an applicant in or out, but thefunctionality for Applicants to see this change is not implemented. Adding acolumn to the Applicant view to inform them whether a Property is currentlyOccupied or not would be benefitial.; Check-in and check-out an applicant, create/view/edit/delete leasing agents byadmin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7267,UI is good and easy to navigate.; Perhaps there should be a quick nav section to allow quickly navigating to thedifferent screens in the application.,"UI is good. There can be proper back buttons at some places to make navigationeasier rather than relying on browser back button; UI is nice, liked the text that it said during login and while in the website.","The move out of property option for applicants is hidden under show profile.This is should be a readily available information. I would suggest movingthose two options outside and on main page if possible. Additionally, I amunsure as to why the move out of property gets submitted under applications and the agent has to approve it which changes the status to rejected. This is misleading information as the applicant was moved out and not rejected. My suggestion would be to keep the move out functionality in properties and notapplications as they are different from each other. Secondly, I am able to move a leasing agent out of a property which seems odd. The edit users pagefor agents in the admin view should not have this button. I would suggesthiding this button when viewing agents from admin view.; Applicant should be able to edit their application immediately instead of picking an property",The user might find it hard to choose the right user type when signing up andthere's no difference between different user type. So there should be a oneline that shows the current user type on the webpage. And there should be several restrictions depends on the user types.; UI seems to be good because of the layout and alignment. More clarity can be added as to what is the user type which is signing up or logging in.,"After signing up a new user, the back button shows the list of user instead of going to the login and signup page.; Some back link goes back to the wrong page. It would be better to customizethe back link in Rails via code.",UI looks good; UI is good. There can be proper back buttons at some places to make navigationeasier rather than relying on browser back button,"Unable to access the application, looks like a deployment issue.; When I click the link , all I see is ""There is an error occurred in theapplication and your page could not be served""",Include navigation. Not advanced navigation. But basic ones like not missing'BACK' Links; There's no back button for the users to go back to previous page,"After edit profile, I was not able to navigate to other pages. The home buttonis not directing me to the correct view, but edit profile page.; Would suggest making a button that allows to go back to main page. Home buttontakes you to a place where you cant do anything","Make a ""go home"" button. Makes navigation so much easier. Missing a lot offunctionality.; I would suggest to add a back button in the UI","The UI works pretty well, good job.; You can use bootstrap to make you ui looks better",The UI looks really good. There is no ambiguity anywhere.; UI seems to be good because of the layout and alignment. More clarity can beadded as to what is the user type which is signing up or logging in.,The UI looks good; UI is self explanatory..nice work,"UI is good. There can be proper back buttons at some places to make navigation easier rather than relying on browser back button; A back button in every page will be better. As a applicant, I will appreciate if I don't need to enter the state of application.","Should have added a nav bar to the application for admins and agents with links to properties, applicants etc, so that we don't always have to use back to go back to home.; The UI looks great all the redirections and links make sense and look like there are supposed to belong there.","Include navigation. Not advanced navigation. Bust basic ones like not missing 'BACK' Links; A back button in every page will be better. As a applicant, I will appreciate if I don't need to enter the state of application.",You can use bootstrap to make you ui looks better; UI looks good.,There can be HOME button to go to the home page.; I think there should be a menu bar.,"UI is great, home page and profile links are in the header which is veryhelpful; Home page seems too simple.","UI is well wired and bug free, every page has the functionality to go back andreturn to the hmepage; At the bottom of the page, the profile, logout, new property are in one line.Maybe adding some  makes it prettier","Unable to access the application, looks like a deployment issue.; Can't open web page",UI looks good; The UI looks really good. There is no ambiguity anywhere.,The applying UI is kind of weird.; UI is looking great,The UI looks good; You can use bootstrap to make you ui look better,UI is well constructed. Information is properly displayed.; The applying UI is kind of weird.,UI is good. There can be proper back buttons at some places to make navigationeasier rather than relying on browser back button; Back buttons are missing on several pages. It because easy to traverse if backbuttons are added.,"One of the major UI issue is the property application, in which user are notable to enter information with form. Instead the digit that representing the property are in used of which increase the user efforts. There are mutiple changes suggested in the ""Additional Comments"" section. Majorly on the workflow and the user experice design.; UI needs a bit immprovement",Creating new application is buggy. Admin login not available. Applicantinteger id shown for occupant id. Occupant id shown in property edit; The UI looks very good. There is one error when a user tries to file a newapplication; the field names cannot be seen and thus entries cannot be made inthe form. This might be solved by changing the font color of the fom text (inthe corresponding CSS file)),"The workflow can be improved. Though all the functions are covered in UI, itis not intuitive. Instead of having a separate link for each action, createlinks for users, applications and properties and provide all the functionalityinside. For example, check in function could be provided on application page.On approving an application, user should automatically be checked-in.; As previously noted, too many UI elements are available to too many users,particularly Applicants. Applicants should not have the ability to edit thecontents of any page they have permission to view, and should instead berestricted to only making new applications and withdrawing their applications.That said, the layout of the operations available for all users are quite niceto view, even if many of the links are redundant (for example, an adminchoosing to check in and out applicants takes them to the same page as viewingall the properties). Additionally, all of the forms would be greatly improvedby having drop-down boxes showing available options instead of manuallyentered numbers (for example, picking from a drop-down of availableproperties, instead of manually typing in a property ID).","UI is good. But the leasing agents are having the option to create propertiesbut admins are not able to create properties.; The UI is functional for the most part, but applications do not display asmuch information as they likely should. A leasing agent and an applicant bothlikely don't know which ""user property"" a particular ID belongs to. I wouldsuggest that these be replaced with the name and address of the property thatapplication applies to. I do enjoy the way that users are organized, showingleasing agents and applicants in one place for their common information, asthis is a slick and effective way to combine that information.","One of the major UI issue is the property application, in which user are notable to enter information with form. Instead the digit that representing theproeprty are in used of which increase the user efforts. There are mutiplechanges suggested in the ""Additional Comments"" section. Majorly on theworkflow and the user experice design.; There is a lot to improve to be honest. Property add, applications and otherimprovements I have listed below","The homepage does not have a link to viewapplications/applicants/properties/etc. Does not indicate the currently loggedin user. Simply including links and labels in the homepage would help. Whileediting or creating errors are not displayed the page simply does not respond.Display the model errors onto the screen.; There are no proper back button links. Going to home page automatically islike logout. Also, no proper error message shown on filling wrong values/emptyvalues in some requried field","The UI looks amazing the use of tables to show the list of objects was a greatidea. I don't have any issue in how the project was built.; UI looks great, amazing job.",UI looks clean and easy to use; Home page seems a little bit simple.,"The homepage does not have a link to viewapplications/applicants/properties/etc. Does not indicate the currently loggedin user. Simply including links and labels in the homepage would help. Whileediting or creating errors are not displayed the page simply does not respond.Display the model errors onto the screen.; The workflow could be as follows: on home page, there could be threecategories to go to: 1) Admin 2)Applicant 3)Leasing Agent and then inindividual category include the functionalities which are currently missing",It's simple but has most of the functions.And the alerts is clear to tell whatgoes wrong when signing up. But there are some aligning problems ofinformation pages. Maybe using forms can make the information more clear; Home page seems too simple.,"UI looks decent, cannot find links to some pages which requires me to enterURL though; UI is great, home page and profile links are in the header which is veryhelpful","It's good, but putting a url to go to the home page is needed, example thecreate application, if I change my mind, I have to logout and then login again; The workflow makes sense, but lacks a proper navigation to homepage from allthe sub-pages.(I changed the url everytime to navigate back to home page).Please add a link to home page.","There are no proper back button links. Going to home page automatically is like logout. Also, no proper error message shown on filling wrong values/emptyvalues in some requried field; The system should not have to log in every time the user press ""Home page""link.","The UI is amazing, the navigation throughout the application is very smoothand the application seems bugfree; UI seems to be good because of the layout and alignment. More clarity can beadded by linking property checkout and applications together. So that ifapplication has been approved user has access to that property right from theapplications page to get to the option of checkout. This way the navigationcan be enhanced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7268,"Unable to create applications as admin.Basic functionalities of the admin andleasing agents need to be still implemented; While some of the more basic parts of the workflow work, such as changes toapplications being reflected for both users and leasing agents, thefunctionality between these components is currently lacking. As previouslymentioned, users can access the edit page for properties, which they shouldnot be able to do, by going to ""View the list of properties andavailabilities"" -> ""Show"" -> ""Edit"". Further, pressing ""Back"" in the editscreen takes them to an alternate ""Properties"" page. Besides this, the lack ofcertain functions for the admin, such as editting their profile parameters andnot being able to delete or edit applications, as well as unable to createproperties, creates workflow problems. The foundation is here, but the detailsstill need to be fixed.","There is button to go back or to log out, having a log out button makes itintuitive when we have to login to a other account. When hitting back afterleasing agent signup, the page showing list of all leasing agents comes up;this can be solved by changing the redirecting path in the controllers filefor create_leasing_agent method (your method name might differ).; Leasing agent cannot add a new property.",Workflow is good but one problem is applicant is able to view otherapplications by changing the URL.; The fact that the agent and applicant can view the application list in twoplaces is a bit confusing. I liked how there was an option to only viewwaitlisted applications though.,"Issue occured in the properties list view.; When adding new application, the field of property shouldn't be a number","Unable to access the application, looks like a deployment issue.; Can't open web page","admin doesn't have the admin rights, it can be given using cancancan; Not able to access applications.","Too incomplete to tell --> signup should at least auto-bring me back to thehomepage; When going back after applicant signup, the list of all users comes up; oneuser should not be able to see the information of other users; this can besolved by correcting the redirecting path in the create_applicant controllermethod (your method name might differ). The agent is unable to access the pagewhere new property is added; This can be solved by looking into the createmethod in the controllers/properties_controller file.",Properties applied field should not be a text box. User should be able toselect the available properties from the list of properties. Having a kind ofdropdown would be more intutive.; Applicant also have ability to Add/delete/edit properties. Please check on theassociations in models and controller.,"When you click new property, server responds ""Sorry something went wrong"". Addnew property is displayed for both applicants and user agents. I would suggestto check your routes and controller to see if you are passing the right url,and giving right associations.; Adding of new property by leasing agent should be fixed, agent should be ableto see the properties which he cant right now.",There should be buttons/links for navigation.; Need a back button link to home page!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
